Name,Brand,Model,Year,KM Driven,Fuel,Transmission,Ownership,Price,Location
Maruti Dzire,Maruti,Dzire,2020,77670,Petrol,Auto,1,468000,"GVK One Mall, Banjara Hills, Hyderabad, Telangana "
Maruti Alto 800,Maruti,Alto 800,2018,80469,Petrol,Manual,2,189000,"Upperpally, Attapur, Hyderabad"
Mahindra MARAZZO,Mahindra,MARAZZO,2018,109573,Diesel,Manual,2,515000,"Kompally, Hyderabad"
Volkswagen Polo,Volkswagen,Polo,2020,35505,Petrol,Auto,1,679000,"Bachupally, Hyderabad"
Tata PUNCH,Tata,PUNCH,2023,15878,Petrol,Auto,1,580000,"Kompally, Hyderabad"
Ford Ecosport,Ford,Ecosport,2018,109040,Diesel,Manual,2,474000,"Kompally, Hyderabad"
Ford Figo Aspire,Ford,Figo Aspire,2019,63356,Petrol,Manual,3,362000,"Kompally, Hyderabad"
Maruti Celerio,Maruti,Celerio,2018,145741,CNG,Manual,2,286000,"Bachupally, Hyderabad"
Hyundai Elite i20,Hyundai,Elite i20,2017,68595,Diesel,Manual,2,480175,"Kompally, Hyderabad"
Hyundai Grand i10,Hyundai,Grand i10,2015,42737,Petrol,Auto,1,344000,"Kompally, Hyderabad"
Maruti Swift Dzire,Maruti,Swift Dzire,2013,15195,Diesel,Manual,1,363000,"Bachupally, Hyderabad"
Datsun Redi Go,Datsun,Redi Go,2017,50126,Petrol,Manual,1,175000,"GVK One Mall, Banjara Hills, Hyderabad, Telangana "
Mahindra XUV700,Mahindra,XUV700,2022,49147,Diesel,Manual,1,1480000,"Kompally, Hyderabad"
Mahindra XUV300,Mahindra,XUV300,2019,77714,Petrol,Manual,2,576000,"Upperpally, Attapur, Hyderabad"
Hyundai Grand i10,Hyundai,Grand i10,2015,118778,Petrol,Manual,1,304000,"Upperpally, Attapur, Hyderabad"
Maruti Wagon R 1.0,Maruti,Wagon R 1.0,2015,78860,Petrol,Manual,1,225000,"GVK One Mall, Banjara Hills, Hyderabad, Telangana "
Renault TRIBER,Renault,TRIBER,2023,22597,Petrol,Manual,1,535000,"Kompally, Hyderabad"
KIA SELTOS,KIA,SELTOS,2020,92058,Petrol,Manual,1,740000,"Bachupally, Hyderabad"
Honda Amaze,Honda,Amaze,2015,81143,Petrol,Manual,1,284000,"Upperpally, Attapur, Hyderabad"
Maruti Vitara Brezza,Maruti,Vitara Brezza,2018,52670,Diesel,Auto,1,650000,"Bachupally, Hyderabad"
Skoda Rapid,Skoda,Rapid,2019,28310,Petrol,Manual,1,596820,"Kompally, Hyderabad"
Maruti Baleno,Maruti,Baleno,2020,85909,Petrol,Auto,1,479000,"GVK One Mall, Banjara Hills, Hyderabad, Telangana "
Hyundai Elite i20,Hyundai,Elite i20,2015,92659,Diesel,Manual,1,400000,"Kompally, Hyderabad"
Maruti Alto 800,Maruti,Alto 800,2017,39580,Petrol,Manual,2,160000,"Bachupally, Hyderabad"
Toyota Etios,Toyota,Etios,2014,80834,Diesel,Manual,1,365825,"Kompally, Hyderabad"
Maruti Alto K10,Maruti,Alto K10,2012,48478,Petrol,Manual,2,146000,"Upperpally, Attapur, Hyderabad"
Maruti XL6,Maruti,XL6,2020,76493,Petrol,Manual,2,750000,"Bachupally, Hyderabad"
KIA SELTOS,KIA,SELTOS,2022,55677,Diesel,Manual,1,855000,"Kompally, Hyderabad"
Maruti Alto 800,Maruti,Alto 800,2015,72436,Petrol,Manual,1,185000,"Bachupally, Hyderabad"
